label,SiO2,Al2O3,TFe2O3,CaO,MgO,K2O,Na2O,P,S,Cl,Sc,Ti,V,Cr,Mn,Co,Ni,Cu,Zn,As,Br,Rb,Sr,Y,Zr,Nb,Mo,Sn,Sb,Ba,La,Ce,Hf,Ta,W,Pb,Th,U,F,Ga
1,50.64,8.204,4.338,11.679,2.748,1.511,1.738,1185.2,731.6,1601.5,1.9,6478.1,122.8,120.5,713.5,11.1,24.6,18.1,53.5,10.1,1.3,58.9,275.4,41.6,1479.4,15.3,2.3,4.4,0,479.4,31.3,56.2,35.4,1.7,3.1,19.4,17.1,3.4,478.5,10.9
1,49.849,8.18,4.894,11.884,2.769,1.485,1.74,1276.2,817.4,1684.6,5.4,7428.5,138,157.2,781.9,13.2,26.2,16.9,65.8,12,0.5,59.1,285.7,51.9,2490.9,13.8,5.8,7,1.6,423.4,44.6,92.5,59.1,2,4.4,19.7,25.2,5.5,498.9,10.4
1,54.744,9.318,4.403,10.744,2.792,1.797,1.623,1173.4,584.2,113.7,6.6,5521.4,106.6,96,713.2,16.1,27.1,20.4,68.2,13.1,1.4,66.9,265.4,43.5,1297.8,14,3,4.1,0.3,539,38.7,75.3,31.1,1.7,8.3,22.1,19.5,4.9,489.3,11.5
1,52.585,8.817,4.55,11.019,2.735,1.672,1.547,1152.5,370.8,149.2,7.2,6292.1,115.1,105,709,11.3,26.2,20.7,70.6,13,0.4,65.3,266,45.9,1639,14.3,2.9,3.1,2.3,499.8,34.3,66,39.1,1.8,4.9,21.7,21.3,5,528.5,10.4
1,52.207,8.828,4.729,11.138,2.75,1.652,1.543,1194.5,362.1,119.3,6,6677.5,123.8,122.9,752.8,12.2,24.9,18.5,68.8,13.7,0.9,64.3,267,49.4,1717.2,14.3,3.7,3.6,0.6,449,43.5,91.8,40.9,1.9,4.9,21.7,22.6,4.8,588.4,12
1,52.262,9.007,4.78,11.375,2.833,1.7,1.53,1206,362.1,135.4,9.7,6512.7,126.8,113.2,758.9,11.8,28,21.9,76.4,14.7,0.7,65.8,269.5,48.2,1718.5,14.2,3.6,7.4,3.5,503,38.6,73.7,40.6,1.8,5.5,20,27.2,6.5,538,10.9
1,54.995,9.384,4.591,10.701,2.792,1.811,1.638,1189.6,477.6,108.5,6.6,5998,113.7,95.6,747.4,16.9,26.8,21.2,72,13.5,0.4,67.6,267.9,48.8,1600,14.5,2.6,7.1,3.3,496.5,35.5,77.1,37.8,1.8,9.1,21.8,26.5,3.9,492,11.5
2,53.81,9.756,4.54,10.342,3.543,1.945,1.781,883.8,2247.3,2026.1,3.6,4554.3,97.2,84.1,716.8,14.7,28.2,44.9,89.1,13.7,0.6,75.1,285.8,32.9,746,13.2,2.1,10,1.7,475.9,30.7,57,18.5,1.8,9.7,23.4,14.4,3.4,652,11
1,55.364,9.187,4.12,10.587,2.716,1.795,1.668,1064.4,533.9,156.2,3.8,5115.3,98.3,99.8,665.4,13.9,23.4,18.2,61.4,10.9,0.5,66.5,257.1,36,984.2,13.2,1.6,4.6,0,510.5,33,59.4,23.8,1.6,7.3,21.5,15.9,4,505.3,11.2
1,55.844,9.244,4.299,10.248,2.656,1.822,1.69,1124.5,477.1,114.5,4.4,5413.6,103.2,97.9,685.9,20,26.4,19.5,63.5,12.5,1,68.6,262.1,39.7,1203.2,13.9,1.8,0,4.3,490.8,43.7,93.4,29,1.7,10.7,19.2,19.6,3.9,517.1,11
1,54.586,9.218,4.423,10.752,2.775,1.783,1.645,1174.6,652.8,115.3,5,5791.4,109.9,120.4,702,15.8,27.6,21,62.4,12.5,0.6,66.2,265.9,45.3,1365.5,14.2,2.7,5.7,1.1,529.6,35.8,72.4,32.8,1.8,7.7,20.9,21.1,4.6,438.2,10.8
1,55.004,9.584,4.377,10.599,2.811,1.881,1.64,1055.8,485.1,175.2,7.3,5333.3,103.7,95,711.3,16.6,26.6,19.8,66.3,12.5,0.8,71.1,264.5,39.9,1105.4,13.9,2.1,6.6,0,487.1,42.7,82.3,26.8,1.7,8.5,20,17.8,4.6,493.3,11.7
1,55.562,9.634,4.419,10.292,2.763,1.902,1.669,1051.7,458.8,176.8,8.4,5218.2,104.1,87.6,696.8,18.9,28.8,20.3,66.8,12.7,0.7,72.3,265.2,38.8,1170.1,13.7,2.1,7.6,1,530.3,34,66.7,28.1,1.8,10,21.2,18.4,3.8,475.8,11.8
2,52.893,9.688,4.293,10.647,3.445,1.904,1.806,1009.6,3098.1,2711.2,6.9,5061.3,100.8,86.4,665.2,16.3,25.8,19.7,61.9,12.9,0.7,71.8,363.8,39.2,1064.1,14.2,2,6.4,3.1,443.8,31.8,66.8,25.6,1.7,8.5,19.5,19.3,4.7,603.2,12.5
1,53.879,9.875,4.578,10.704,3.089,1.908,1.589,1099.8,896,410.8,8.1,5680.8,109.3,96.7,734.3,16.7,26.9,21.4,67.1,15.1,0.9,71.5,275.4,42.7,1337.3,14.1,2.3,9.2,1.8,518,42.4,79.4,32.3,1.8,9,20.7,22.5,4.6,595.4,11
1,53.115,9.714,4.467,10.785,3.327,1.898,1.696,1063,1930.5,1401.5,5.8,5331.2,101.6,92,706.3,14.7,26.6,21.4,65.3,14.8,0,72,328.8,42,1189.6,13.9,2.6,9.9,0,500.9,43.6,74.8,28.4,1.8,7.7,19.8,19.6,4.7,642.2,11.2
2,56.288,8.788,3.965,10.586,2.645,1.747,1.759,1058.4,463.2,333.7,6,5103.4,99.5,75,641.2,21.3,25.5,17.5,52.1,11.3,0.3,62.6,261,36,1014.4,13.3,1.7,6.8,2.8,485.2,34.8,61.4,24.6,1.7,11.3,18.9,17.6,3.5,386.4,11.3
2,57.234,8.961,3.814,10.199,2.594,1.809,1.8,967.1,610.1,517.9,4.3,4620.8,93.2,80.2,621.3,20.3,25.1,17.5,51.8,10.7,0.8,64.2,255.6,32.7,836.4,12.7,2.1,4.4,0,462.7,40.2,79.1,20.6,1.6,11.1,17.6,13.3,3.3,432.1,10.7
2,56.369,8.974,3.75,10.2,2.644,1.83,1.802,957.2,764.7,921.7,7.1,4633.7,86.9,80.3,615.5,19,23.9,19.5,51.5,10.9,0.4,65.1,257.9,32.8,835.2,12.9,1.7,6.9,0.6,513.6,31.9,61.6,20.5,1.6,9.9,17.9,14.6,3.5,415.5,10.8
2,56.511,9.055,3.609,10.048,2.592,1.849,1.743,913.3,569.1,328.4,6.8,4213.6,85.3,69.2,582.2,15,22,17.1,49.3,9.7,0.5,65.4,252.1,28.6,653,12.4,1.6,4,3,468.2,26.6,48,16.4,1.4,8,17.7,10.7,3.3,454.1,10.3
2,56.802,9.058,3.554,9.728,2.557,1.821,1.762,945.1,560.3,398.1,7.2,4111.3,76.8,62.7,575,12.7,21.2,17.2,51.1,10.3,1.1,66.1,252.8,29.3,579.7,12.7,1.9,3.7,1.2,445.7,30.3,59.2,14.5,1.5,6.5,19,11.6,2.9,509.4,11.9
